NMNAT1	chr1	10002980	10045556
TMEM274P	chr1	10010629	10020845
PALMD	chr1	100111668	100160091
FRRS1	chr1	100169525	100232191
MIR5697	chr1	10027438	10027516
AGL	chr1	100315916	100389576
SLC35A3	chr1	100435551	100501190
MFSD14A	chr1	100503650	100548933
SASS6	chr1	100549125	100598486
RBP7	chr1	10057285	10076079
TRMT13	chr1	100598705	100616054
LRRC39	chr1	100614003	100643829
RNF223	chr1	1006346	1009686
DBT	chr1	100652474	100715390
RTCA-AS1	chr1	100730297	100731730
RTCA	chr1	100731713	100758325
MIR553	chr1	100746796	100746864
CDC14A	chr1	100818061	100985833
UBE4B	chr1	10093015	10241297
GPR88	chr1	101003694	101007577
LINC01349	chr1	101092604	101112560
VCAM1	chr1	101185195	101204601
EXTL2	chr1	101337927	101360735
SLC30A7	chr1	101361645	101447313
DPH5	chr1	101455178	101491362
LOC102606465	chr1	101491401	101552935
LOC101928370	chr1	101700428	101702084
S1PR1	chr1	101702304	101707076
C1orf159	chr1	1017202	1051469
LINC01307	chr1	101789392	101842869
OLFM3	chr1	102268122	102312636
DNAJA1P5	chr1	102337567	102360299
KIF1B	chr1	10270627	10368655
COL11A1	chr1	103342028	103574078
LOC101928436	chr1	103959702	104068133
RNPC3	chr1	104068320	104097861
AMY2B	chr1	104097265	104122156
ACTG1P4	chr1	104112025	104114013
AMY2A	chr1	104159953	104168402
AMY1A	chr1	104198140	104207173
AMY1B	chr1	104230040	104238889
AMY1C	chr1	104292275	104301314
PGD	chr1	10459120	10480568
LOC100129138	chr1	104615644	104619708
CENPS	chr1	10490489	10502865
CENPS-CORT	chr1	10490489	10512210
CORT	chr1	10510087	10512055
DFFA	chr1	10516578	10532586
PEX14	chr1	10535006	10690815
LINC01676	chr1	106132315	106161557
LINC01677	chr1	106470245	106570875
CASZ1	chr1	10696660	10856703
LINC01342	chr1	1072396	1079436
LINC01661	chr1	107360860	107380815
PRMT6	chr1	107599295	107601916
NTNG1	chr1	107682709	108027545
VAV3	chr1	108113782	108507802
MIR7852	chr1	108439844	108439926
VAV3-AS1	chr1	108507064	108537229
SLC25A24	chr1	108676664	108742965
NBPF4	chr1	108765962	108786703
